heldout_magnification,support_size,support_seed,seed,selected_expert,oracle_expert,support_nelbo_selected,eval_nelbo_selected,eval_nelbo_oracle,oracle_gap_pct,metadata_selected_expert,static_embedding_selected_expert
400,8,23,42,200,200,478.9255180358887,456.8606872782002,456.8606872782002,0.0,40,200
400,8,23,43,200,200,319.2987861633301,471.03535308613164,471.03535308613164,0.0,40,200
400,8,23,44,200,200,410.5004196166992,462.2280411867751,462.2280411867751,0.0,40,200
400,8,31,42,200,200,467.0405960083008,453.1846533706508,453.1846533706508,0.0,40,200
400,8,31,43,200,200,386.7601089477539,464.61206229928496,464.61206229928496,0.0,40,200
400,8,31,44,200,200,385.64621353149414,458.6339654701386,458.6339654701386,0.0,40,200
400,16,17,42,200,200,399.5990867614746,464.52381025041853,464.52381025041853,0.0,40,200
400,16,17,43,200,200,423.18737602233887,436.70198603061283,436.70198603061283,0.0,40,200
400,16,17,44,200,200,433.4605960845947,443.3446325027435,443.3446325027435,0.0,40,200
400,16,23,42,200,200,402.4621887207031,460.9538187532343,460.9538187532343,0.0,40,200
400,16,23,43,200,200,389.21828269958496,460.5041464113722,460.5041464113722,0.0,40,200
400,16,23,44,200,200,433.0161647796631,467.2999757385254,467.2999757385254,0.0,40,200
400,16,31,42,200,200,425.0053195953369,462.65063405453583,462.65063405453583,0.0,40,200
400,16,31,43,200,200,385.152512550354,470.3271225520543,470.3271225520543,0.0,40,200
400,16,31,44,200,200,405.7575092315674,468.09704830932617,468.09704830932617,0.0,40,200
400,32,17,42,200,200,457.8182830810547,457.33877601152585,457.33877601152585,0.0,40,200
400,32,17,43,200,200,411.16621017456055,432.2223088017216,432.2223088017216,0.0,40,200
400,32,17,44,200,200,453.5366506576538,400.12019737094056,400.12019737094056,0.0,40,200
400,32,23,42,200,200,446.9632377624512,428.03871178814745,428.03871178814745,0.0,40,200
400,32,23,43,200,200,452.3585271835327,434.88008635549835,434.88008635549835,0.0,40,200
400,32,23,44,200,200,437.74152851104736,418.5861450692882,418.5861450692882,0.0,40,200
400,32,31,42,200,200,430.65036821365356,498.4434739218818,498.4434739218818,0.0,40,200
400,32,31,43,200,200,492.62997341156006,438.9459557784231,438.9459557784231,0.0,40,200
400,32,31,44,200,200,407.37967443466187,480.98325311132226,480.98325311132226,0.0,40,200
