scope,method,heldout_center,k,n_decisions,mean_oracle_gap_pct,max_oracle_gap_pct,high_regret_rate_gt1,high_regret_rate_gt2,high_regret_rate_gt5
by_center_k,direct_support_nelbo,0,32,9,0.0,0.0,0.0,0.0,0.0
by_center_k,direct_support_nelbo,0,4,9,0.7488462387829048,6.739616149046143,0.1111111111111111,0.1111111111111111,0.1111111111111111
by_center_k,direct_support_nelbo,0,8,9,0.7739764345737856,6.96578791116407,0.1111111111111111,0.1111111111111111,0.1111111111111111
by_center_k,direct_support_nelbo,1,16,9,1.2361049771649533,11.124944794484579,0.1111111111111111,0.1111111111111111,0.1111111111111111
by_center_k,direct_support_nelbo,1,32,9,0.0,0.0,0.0,0.0,0.0
by_center_k,direct_support_nelbo,1,4,9,1.6913387617079791,9.858992544040733,0.2222222222222222,0.2222222222222222,0.2222222222222222
by_center_k,direct_support_nelbo,1,8,9,2.3195015915820183,10.736206741031717,0.2222222222222222,0.2222222222222222,0.2222222222222222
by_center_k,direct_support_nelbo,2,16,9,0.3899958688704911,2.171842077727136,0.1111111111111111,0.1111111111111111,0.0
by_center_k,direct_support_nelbo,2,32,9,0.359636164750752,2.2286082906311027,0.1111111111111111,0.1111111111111111,0.0
by_center_k,direct_support_nelbo,2,4,9,0.7015332829169664,3.847943344166047,0.2222222222222222,0.1111111111111111,0.0
by_center_k,direct_support_nelbo,2,8,9,0.29137136233721994,2.114976150273501,0.1111111111111111,0.1111111111111111,0.0
by_center_k,direct_support_nelbo,3,16,9,0.0,0.0,0.0,0.0,0.0
by_center_k,direct_support_nelbo,3,32,9,0.2334011526753478,2.1006103740781303,0.1111111111111111,0.1111111111111111,0.0
by_center_k,direct_support_nelbo,3,4,9,0.22104523401836515,1.9894071061652863,0.1111111111111111,0.0,0.0
by_center_k,direct_support_nelbo,3,8,9,0.19482455364706033,1.753420982823543,0.1111111111111111,0.0,0.0
by_center_k,direct_support_nelbo,4,16,9,0.06417682372345511,0.577591413511096,0.0,0.0,0.0
by_center_k,direct_support_nelbo,4,32,9,0.10870990507419748,0.8954583479297338,0.0,0.0,0.0
by_center_k,direct_support_nelbo,4,4,9,1.2213512855741573,4.336870301189961,0.3333333333333333,0.3333333333333333,0.0
by_center_k,direct_support_nelbo,4,8,9,0.37577906264489797,2.5618885262719355,0.1111111111111111,0.1111111111111111,0.0
by_center_k,metadata_routing,0,16,9,8.602721231674629,14.225120600713417,1.0,1.0,0.8888888888888888
by_center_k,metadata_routing,0,32,9,8.58760509730185,14.189334146634991,1.0,1.0,0.8888888888888888
by_center_k,metadata_routing,0,4,9,8.703554156284392,14.09456655069141,1.0,1.0,1.0
by_center_k,metadata_routing,0,8,9,8.72483761967131,14.351276052302394,1.0,1.0,1.0
by_center_k,metadata_routing,1,16,9,5.646633749707645,6.3278255426261865,1.0,1.0,1.0
by_center_k,metadata_routing,1,32,9,5.6415299303625375,6.417335415361687,1.0,1.0,0.8888888888888888
by_center_k,metadata_routing,1,4,9,5.53933449620833,5.817666655306256,1.0,1.0,1.0
by_center_k,metadata_routing,1,8,9,5.505725832059658,5.734298295723185,1.0,1.0,1.0
by_center_k,metadata_routing,2,16,9,1.9394452221457064,3.673471703526966,0.6666666666666666,0.4444444444444444,0.0
by_center_k,metadata_routing,2,32,9,1.9249630264081452,4.023559273011102,0.6666666666666666,0.5555555555555556,0.0
by_center_k,metadata_routing,2,4,9,1.9611139267335578,3.6965490802140017,0.6666666666666666,0.3333333333333333,0.0
by_center_k,metadata_routing,2,8,9,1.9213102340957369,3.6338544502231644,0.6666666666666666,0.4444444444444444,0.0
by_center_k,metadata_routing,3,16,9,4.257717506220067,13.117294742771438,0.3333333333333333,0.3333333333333333,0.3333333333333333
by_center_k,metadata_routing,3,32,9,4.140231491721789,12.9847565495676,0.3333333333333333,0.3333333333333333,0.3333333333333333
by_center_k,metadata_routing,3,4,9,4.3926878884919205,13.32388369636209,0.3333333333333333,0.3333333333333333,0.3333333333333333
by_center_k,metadata_routing,3,8,9,4.317043411687958,13.055998330263781,0.3333333333333333,0.3333333333333333,0.3333333333333333
by_center_k,metadata_routing,4,16,9,0.07667179377467831,0.577591413511096,0.0,0.0,0.0
by_center_k,metadata_routing,4,32,9,0.11836686409088827,0.8954583479297338,0.0,0.0,0.0
by_center_k,metadata_routing,4,4,9,0.09013437552954523,0.4607864613419891,0.0,0.0,0.0
by_center_k,metadata_routing,4,8,9,0.10356373611674217,0.4928979754961687,0.0,0.0,0.0
by_center_k,source_global_prior_routing,0,16,9,14.010493254808539,19.05835220041051,1.0,1.0,0.8888888888888888
by_center_k,source_global_prior_routing,0,32,9,13.919108844255074,20.28755258794104,1.0,1.0,0.8888888888888888
by_center_k,source_global_prior_routing,0,4,9,14.00391538938284,18.835951144572935,1.0,1.0,1.0
by_center_k,source_global_prior_routing,0,8,9,14.026512972157157,19.230550616816988,1.0,1.0,1.0
by_center_k,source_global_prior_routing,1,16,9,6.9647147857895675,9.80525965102936,1.0,1.0,1.0
by_center_k,source_global_prior_routing,1,32,9,6.957359037341968,9.770339650117357,1.0,1.0,0.8888888888888888
by_center_k,source_global_prior_routing,1,4,9,6.816108538358979,9.858992544040733,1.0,1.0,1.0
by_center_k,source_global_prior_routing,1,8,9,6.788484251232717,10.139307583206447,1.0,1.0,1.0
by_center_k,source_global_prior_routing,2,16,9,7.087975559396597,15.067710164828163,0.7777777777777778,0.7777777777777778,0.4444444444444444
by_center_k,source_global_prior_routing,2,32,9,6.982826318262071,14.847429777844964,0.7777777777777778,0.7777777777777778,0.4444444444444444
by_center_k,source_global_prior_routing,2,4,9,7.733929742792055,15.233895385030301,0.8888888888888888,0.8888888888888888,0.5555555555555556
by_center_k,source_global_prior_routing,2,8,9,7.681770177569054,15.216847342574361,0.8888888888888888,0.8888888888888888,0.5555555555555556
by_center_k,source_global_prior_routing,3,16,9,10.714417003123716,18.99788747099661,0.6666666666666666,0.6666666666666666,0.6666666666666666
by_center_k,source_global_prior_routing,3,32,9,10.928468104857124,19.302980072870206,0.6666666666666666,0.6666666666666666,0.6666666666666666
by_center_k,source_global_prior_routing,3,4,9,10.62108118981573,18.53017746282323,0.6666666666666666,0.6666666666666666,0.6666666666666666
by_center_k,source_global_prior_routing,3,8,9,10.635372040461892,18.886815726405402,0.6666666666666666,0.6666666666666666,0.6666666666666666
by_center_k,source_global_prior_routing,4,16,9,0.47104887355736813,1.6966265955637907,0.3333333333333333,0.0,0.0
by_center_k,source_global_prior_routing,4,32,9,0.47561194839934096,1.4883332370242475,0.3333333333333333,0.0,0.0
by_center_k,source_global_prior_routing,4,4,9,0.48458256365401897,1.5489762761708705,0.3333333333333333,0.0,0.0
by_center_k,source_global_prior_routing,4,8,9,0.46501500463107726,1.5570992782135877,0.3333333333333333,0.0,0.0
by_center_k,static_embedding_routing,0,16,9,0.0,0.0,0.0,0.0,0.0
by_center_k,static_embedding_routing,0,32,9,0.0,0.0,0.0,0.0,0.0
by_center_k,static_embedding_routing,0,4,9,1.369331564247454,6.739616149046143,0.2222222222222222,0.2222222222222222,0.2222222222222222
by_center_k,static_embedding_routing,0,8,9,0.6168441071787198,5.551596964608478,0.1111111111111111,0.1111111111111111,0.1111111111111111
by_center_k,static_embedding_routing,1,16,9,4.418760680713386,11.124944794484579,0.6666666666666666,0.6666666666666666,0.6666666666666666
by_center_k,static_embedding_routing,1,32,9,3.7846335797459756,6.417335415361687,0.6666666666666666,0.6666666666666666,0.5555555555555556
by_center_k,static_embedding_routing,1,4,9,3.0828567861463205,5.763198538495524,0.5555555555555556,0.5555555555555556,0.5555555555555556
by_center_k,static_embedding_routing,1,8,9,3.6137345698407035,5.734298295723185,0.6666666666666666,0.6666666666666666,0.6666666666666666
by_center_k,static_embedding_routing,2,16,9,3.7312743101223154,15.067710164828163,0.3333333333333333,0.3333333333333333,0.2222222222222222
by_center_k,static_embedding_routing,2,32,9,4.310114853027671,14.712750320169688,0.4444444444444444,0.4444444444444444,0.3333333333333333
by_center_k,static_embedding_routing,2,4,9,4.471871695818905,15.051744647997815,0.4444444444444444,0.4444444444444444,0.3333333333333333
by_center_k,static_embedding_routing,2,8,9,5.689292367892963,15.216847342574361,0.4444444444444444,0.4444444444444444,0.4444444444444444
by_center_k,static_embedding_routing,3,16,9,6.428837440207345,13.117294742771438,0.7777777777777778,0.6666666666666666,0.6666666666666666
by_center_k,static_embedding_routing,3,32,9,6.016546487608916,12.9847565495676,0.6666666666666666,0.6666666666666666,0.6666666666666666
by_center_k,static_embedding_routing,3,4,9,2.919641907432673,12.966898631473377,0.4444444444444444,0.3333333333333333,0.3333333333333333
by_center_k,static_embedding_routing,3,8,9,6.4082328061661515,13.055998330263781,0.7777777777777778,0.6666666666666666,0.6666666666666666
by_center_k,static_embedding_routing,4,16,9,3.6576800267768,7.3323246039120775,0.5555555555555556,0.5555555555555556,0.5555555555555556
by_center_k,static_embedding_routing,4,32,9,3.759315888819464,7.197081140477736,0.5555555555555556,0.5555555555555556,0.5555555555555556
