experiment_seed,heldout_center,support_size,support_seed,method,source_method,deterministic_selected_expert,oracle_expert,selection_stability,p_oracle_selected,p_eval_rank_le_2,mean_bootstrap_oracle_gap_pct,ci_low_oracle_gap_pct,ci_high_oracle_gap_pct,p_high_regret_gt_2,p_catastrophic_gt_5,p_selection_changed,mean_bootstrap_support_margin,margin_bin,split_id
43,0,4,17,direct_support_nelbo,support_set_nelbo_top1,3,3,0.996,0.996,0.996,0.08380782735698454,0.0,0.0,0.004,0.004,0.004,29.03658143424988,q3_mid_high,target0_seed17_random_k4
43,0,8,17,direct_support_nelbo,support_set_nelbo_top1,3,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,39.98220332584381,q4_high,target0_seed17_random_k8
43,0,16,17,direct_support_nelbo,support_set_nelbo_top1,3,3,0.9751,0.9751,0.9751,0.4581247366626594,0.0,0.0,0.0249,0.0249,0.0249,32.26394371213913,q4_high,target0_seed17_random_k16
43,0,32,17,direct_support_nelbo,support_set_nelbo_top1,3,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,37.503451306962965,q4_high,target0_seed17_random_k32
43,0,4,23,direct_support_nelbo,support_set_nelbo_top1,3,3,0.9944,0.9944,1.0,0.07803564717290327,0.0,0.0,0.0056,0.0056,0.0056,52.964631526184085,q4_high,target0_seed23_random_k4
43,0,8,23,direct_support_nelbo,support_set_nelbo_top1,3,3,0.9997,0.9997,0.9997,0.006248951488384445,0.0,0.0,0.0003,0.0003,0.0003,51.40619253921509,q4_high,target0_seed23_random_k8
43,0,16,23,direct_support_nelbo,support_set_nelbo_top1,3,3,0.9971,0.9971,0.9975,0.05380206102596411,0.0,0.0,0.0029,0.0029,0.0029,38.30250593881607,q4_high,target0_seed23_random_k16
43,0,32,23,direct_support_nelbo,support_set_nelbo_top1,3,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.510423840665815,q4_high,target0_seed23_random_k32
43,0,4,31,direct_support_nelbo,support_set_nelbo_top1,3,3,0.6692,0.6692,0.6692,6.115542164926601,0.0,18.487128672692265,0.3308,0.3308,0.3308,29.40512551879883,q1_low,target0_seed31_random_k4
43,0,8,31,direct_support_nelbo,support_set_nelbo_top1,3,3,0.5475,0.5475,0.5536,8.513917302236313,0.0,18.8762870033989,0.4525,0.4525,0.4525,22.34755767364502,q1_low,target0_seed31_random_k8
