matched_key,dataset_name,backbone_type,run_id,target_domain,support_seed,support_size_requested,sampling_policy,sampling_policy_effective,support_gap,metadata_gap,embedding_gap,normalized_gap_reduction_vs_metadata,normalized_gap_reduction_vs_static_embedding,top1_delta_vs_metadata,top1_delta_vs_static_embedding,safe_audit
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|40|17|16|class_balanced|class_balanced|target40_seed17_class_balanced_k16,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,40,17,16,class_balanced,class_balanced,0.3104834177395021,1.0,1.0,0.6895165822604978,0.6895165822604978,0.0,0.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|40|17|16|random|random|target40_seed17_random_k16,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,40,17,16,random,random,0.5256241300298028,1.0,1.0,0.4743758699701972,0.4743758699701972,0.0,0.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|40|17|32|class_balanced|class_balanced|target40_seed17_class_balanced_k32,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,40,17,32,class_balanced,class_balanced,0.2607286705174407,1.0,1.0,0.7392713294825592,0.7392713294825592,0.0,0.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|40|17|32|random|random|target40_seed17_random_k32,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,40,17,32,random,random,0.5145362885339506,1.0,1.0,0.4854637114660494,0.4854637114660494,0.0,0.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|40|17|4|class_balanced|class_balanced|target40_seed17_class_balanced_k4,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,40,17,4,class_balanced,class_balanced,0.2749452774836784,1.0,1.0,0.7250547225163215,0.7250547225163215,0.0,0.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|40|17|4|random|random|target40_seed17_random_k4,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,40,17,4,random,random,0.45788320962042983,1.0,1.0,0.5421167903795702,0.5421167903795702,0.0,0.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|40|17|64|class_balanced|random_fallback|target40_seed17_random_fallback_k64,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,40,17,64,class_balanced,random_fallback,1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|40|17|64|random|random|target40_seed17_random_k64,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,40,17,64,random,random,1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|40|17|8|class_balanced|class_balanced|target40_seed17_class_balanced_k8,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,40,17,8,class_balanced,class_balanced,0.5482237438223753,1.0,1.0,0.45177625617762474,0.45177625617762474,0.0,0.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|40|17|8|random|random|target40_seed17_random_k8,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,40,17,8,random,random,0.2078539101809272,1.0,1.0,0.7921460898190729,0.7921460898190729,0.0,0.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|40|23|16|class_balanced|class_balanced|target40_seed23_class_balanced_k16,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,40,23,16,class_balanced,class_balanced,0.9621383087405058,1.0,1.0,0.037861691259494235,0.037861691259494235,0.0,0.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|40|23|16|random|random|target40_seed23_random_k16,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,40,23,16,random,random,0.282893204107022,1.0,1.0,0.717106795892978,0.717106795892978,0.0,0.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|40|23|32|class_balanced|class_balanced|target40_seed23_class_balanced_k32,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,40,23,32,class_balanced,class_balanced,1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|40|23|32|random|random|target40_seed23_random_k32,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,40,23,32,random,random,1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|40|23|4|class_balanced|class_balanced|target40_seed23_class_balanced_k4,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,40,23,4,class_balanced,class_balanced,0.19941586105887796,1.0,1.0,0.800584138941122,0.800584138941122,0.0,0.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|40|23|4|random|random|target40_seed23_random_k4,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,40,23,4,random,random,0.0950607989899217,1.0,1.0,0.9049392010100783,0.9049392010100783,0.0,0.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|40|23|64|class_balanced|random_fallback|target40_seed23_random_fallback_k64,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,40,23,64,class_balanced,random_fallback,0.543256972875376,1.0,1.0,0.456743027124624,0.456743027124624,0.0,0.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|40|23|64|random|random|target40_seed23_random_k64,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,40,23,64,random,random,0.543256972875376,1.0,1.0,0.456743027124624,0.456743027124624,0.0,0.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|40|23|8|class_balanced|class_balanced|target40_seed23_class_balanced_k8,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,40,23,8,class_balanced,class_balanced,1.0,0.6219772852412919,0.6219772852412919,-0.3780227147587081,-0.3780227147587081,0.0,0.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|40|23|8|random|random|target40_seed23_random_k8,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,40,23,8,random,random,0.5892724245821039,1.0,1.0,0.41072757541789606,0.41072757541789606,0.0,0.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|40|31|16|class_balanced|class_balanced|target40_seed31_class_balanced_k16,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,40,31,16,class_balanced,class_balanced,0.4924693191895927,1.0,1.0,0.5075306808104073,0.5075306808104073,0.0,0.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|40|31|16|random|random|target40_seed31_random_k16,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,40,31,16,random,random,0.23052639841870814,1.0,1.0,0.7694736015812919,0.7694736015812919,0.0,0.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|40|31|32|class_balanced|class_balanced|target40_seed31_class_balanced_k32,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,40,31,32,class_balanced,class_balanced,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|40|31|32|random|random|target40_seed31_random_k32,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,40,31,32,random,random,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|40|31|4|class_balanced|class_balanced|target40_seed31_class_balanced_k4,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,40,31,4,class_balanced,class_balanced,0.3281052052538332,1.0,1.0,0.6718947947461669,0.6718947947461669,0.0,0.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|40|31|4|random|random|target40_seed31_random_k4,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,40,31,4,random,random,0.3433807583532986,1.0,1.0,0.6566192416467014,0.6566192416467014,0.0,0.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|40|31|64|class_balanced|random_fallback|target40_seed31_random_fallback_k64,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,40,31,64,class_balanced,random_fallback,0.7799445490522651,1.0,1.0,0.22005545094773493,0.22005545094773493,0.0,0.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|40|31|64|random|random|target40_seed31_random_k64,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,40,31,64,random,random,0.7799445490522651,1.0,1.0,0.22005545094773493,0.22005545094773493,0.0,0.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|40|31|8|class_balanced|class_balanced|target40_seed31_class_balanced_k8,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,40,31,8,class_balanced,class_balanced,0.1377813338265046,1.0,1.0,0.8622186661734954,0.8622186661734954,0.0,0.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|40|31|8|random|random|target40_seed31_random_k8,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,40,31,8,random,random,0.3968068747071388,1.0,1.0,0.6031931252928612,0.6031931252928612,0.0,0.0,1
